Aprimore suas habilidades.,APRIMORAR SUA HABILIDADE [PONTO]
O clima local é tropical e normalmente muito quente e úmido.,CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
"O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte.",CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE [PONTO]
Quem quer chá?,CHÁ QUER [INTERROGAÇÃO]
Alguém vai comer isso?,ALGUÉM COMER [INTERROGAÇÃO]
Afaste-se!,AFASTAR [EXCLAMAÇÃO]
Aonde ela foi ontem?,AONDE ELA IR ONTEM [INTERROGAÇÃO]
Começo?,COMEÇAR [INTERROGAÇÃO]
A culpa não é minha.,CULPA MINHA NÃO [PONTO]
"Bom, agora você sabe.",BOM AGORA VOCÊ SABER [PONTO]
Ele veio!,ELE VIR [INTERROGAÇÃO]
Cadê o meu carro?,CADÊ MEU CARRO [INTERROGAÇÃO]
Bebe este suco.,BEBER ESTE SUCO [PONTO]
Isso demorou meses.,DEMORAR MES [PONTO]
A minha cabeça dói.,CABEÇA DOER [PONTO]
Eu amo a minha filha.,AMAR MEU FILHO [PONTO]
É provável que chova hoje.,CERTEZA CHOVER HOJE [PONTO]
Tenha cuidado com o Tom.,CUIDADO TOM [PONTO]
Eu confiei em você.,CONFIAR VOCÊ [PONTO]
Beba seu leite.,BEBER SEU LEITE [PONTO]
Ele sabe falar francês?,ELE SABER FALAR JAPONÊS [PONTO]
Eu como pão.,COMER PÃO [PONTO]
O ar estava úmido.,AR ÚMIDO [PONTO]
O carro é azul.,CARRO  AZUL [PONTO]
Como é que sabemos isso?,COMO SABER [INTERROGAÇÃO]
Barbear leva tempo.,BARBEAR DEMORAR [PONTO]
Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF.,DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF [PONTO]
Foi complicado?,DIFÍCIL [INTERROGAÇÃO]
Seja discreto.,DISCRETO [PONTO]
A criança quase se afogou.,CRIANÇA QUASE AFOGAR  [PONTO]
Estou acostumado a isto.,ACUSTUMAR [PONTO]
Como se soletra isso?,COMO SOLETRAR [INTERROGAÇÃO]
Leva tempo.,DEMORAR [PONTO]
Amamos piqueniques.,AMAR PIQUENIQUE [PONTO]
Algumas pessoas se matam.,ALGUMA PESSOA MATAR [PONTO]
Comece.,COMEÇAR [PONTO]
Os agricultores estão plantado arroz.,AGRICULTOR PLANTAR ARROZ [PONTO]
Alguém tem de pagar o preço.,ALGUÉM PAGAR PREÇO [PONTO]
Eu adoro ambas.,ADORO AMBOS [PONTO]
Como você a conheceu?,COMO VOCÊ CONHECER [INTERROGAÇÃO]
Não bata a porta.,BATER PORTA NÃO [PONTO]
Eles estão felizes.,ELES FELIZ [PONTO]
Eu assustei Tom.,ASSUSTAR TOM [PONTO]
O carro de Tom ficou sem gasolina.,CARRO TOM SEM GASOLINA [PONTO]
O cachorro parece estar com alguma doença.,CACHORRO DOENTE [PONTO]
Alguém pisou no meu pé.,ALGUÉM PISAR MEU PÉ [PONTO]
Tem certeza?,CERTEZA [INTERROGAÇÃO]
O celeiro está em chamas.,CELEIRO FOGO [PONTO]
Como é que o seu filho se chama?,COMO NOME SEU FILHO [INTERROGAÇÃO]
Agora você é adulta.,AGORA VOCÊ ADULTO [PONTO]